snes-00726	A Democratic candidate for Ohio governor revealed he received $20,000 from a pro-Assad group.	true	https://www.snopes.com/fact-check/ohio-candidate-pro-assad-group/	None	Politics	None	Bethania Palma	None	Did an Ohio Gubernatorial Candidate Accept $20,000 from a Pro-Assad Group?	23 April 2018	None	['Ohio', 'Democratic_Party_(United_States)']
snes-00741	A series of images "prove" that the White Helmets "staged" a chemical attack in Syria.	false	https://www.snopes.com/fact-check/is-this-proof-white-helmets-staged-chemical-attack/	None	Fauxtography	None	Dan Evon	None	Proof the White Helmets ‘Staged’ a Chemical Attack in Syria?	19 April 2018	None	['Syria']
snes-03267	Wrestler 'Big Show' was killed in a car accident.	false	https://www.snopes.com/fact-check/celebrity-death-hoax-wwes-big-show/	None	Entertainment	None	Bethania Palma	None	Celebrity Death Hoax: WWE’s ‘Big Show’	26 December 2016	None	['None']
snes-05993	During the 1987 Iran-Contra hearings, Oliver North warned Congress that Osama bin Laden was "the most evil person alive" and that "an assassin team [should] be formed to eliminate him and his men from the face of the earth."	false	https://www.snopes.com/fact-check/oliver-twisted/	None	September 11th	None	David Mikkelson	None	Oliver North Warned of Osama bin Laden in 1987	3 November 2001	None	['Oliver_North', 'United_States_Congress', 'Iran–Contra_affair', 'Osama_bin_Laden']
snes-06142	52 thoroughbred horses are destined for slaughter if adopters are not found for them soon.	outdated	https://www.snopes.com/fact-check/horse-and-home/	None	Critter Country	None	David Mikkelson	None	Do 52 Thoroughbred Horses Need New Homes to Escape Slaughter?	3 February 2011	None	['None']
snes-00076	A video shows DragonAir 737 being spun around in strong winds from a typhoon.	false	https://www.snopes.com/fact-check/dragonair-737-typhoon/	None	Fauxtography	None	Dan Evon	None	Does This Video Show a DragonAir 737 Caught in a Typhoon?	17 September 2018	None	['None']
snes-04524	Top Obama administration officials watched the Benghazi attack unfold in real-time but did nothing to intervene.	false	https://www.snopes.com/fact-check/white-house-benghazi-response/	None	Politics	None	David Mikkelson	None	White House Watched Benghazi Attacked and Didn’t Respond	30 June 2016	None	['Barack_Obama', 'Benghazi']
snes-00042	Did Senator Richard Blumenthal Misrepresent His Military Service?	mostly true	https://www.snopes.com/fact-check/richard-blumenthal-vietnam/	None	Politics	None	Dan MacGuill	None	Did Senator Richard Blumenthal Misrepresent His Military Service?	24 September 2018	None	['None']
snes-02419	DNC staffer Seth Rich sent 'thousands of leaked e-mails' to WikiLeaks before he was murdered.	false	https://www.snopes.com/fact-check/seth-rich-dnc-wikileaks-murder/	None	Politics	None	Bethania Palma	None	Did DNC Staffer Seth Rich Send ‘Thousands of E-Mails’ to WikiLeaks Before He Was Murdered?	16 May 2017	None	['WikiLeaks', 'Democratic_National_Committee']
snes-02820	Legislation introduced by Republicans during President Trump's first two months in office included bills to: terminate the Environmental Protection Agency; redistribute federal school funding via voucher programs; terminate the Dept. of Education; repeal a wildlife protection rule; repeal the Affordable Care Act; defund Planned Parenthood; establish a national right-to-work law; strip federal funds from sanctuary cities; criminalize abortion; and place new sanctions on Iran.	mostly true	https://www.snopes.com/fact-check/bills-introduced-by-republicans/	None	Politics	None	David Emery	None	Bills Introduced by Republicans While We Were Distracted by the ‘Russian Spy Drama’	7 March 2017	None	['Republican_Party_(United_States)', 'Iran', 'Planned_Parenthood']
snes-01346	82-year-old William DeLisle was sentenced to death in California for shooting dead a Muslim man who was attacking him.	false	https://www.snopes.com/fact-check/muslim-self-defense/	None	Junk News	None	Dan MacGuill	None	Was an Elderly Man Sentenced to Death for Killing a Muslim in Self-Defense?	11 December 2017	None	['California', 'Islam']
snes-00255	Michael J. Fox Death	false	https://www.snopes.com/fact-check/michael-j-fox-death/	None	Inboxer Rebellion	None	David Mikkelson	None	Michael J. Fox Death Hoax	5 August 2018	None	['None']
snes-01268	Pope Francis wrote a viral Facebook post offering a "gentle reminder" about what's important in life.	misattributed	https://www.snopes.com/fact-check/did-pope-francis-write-the-gentle-reminder-message/	None	Questionable Quotes	None	Dan Evon	None	Did Pope Francis Write the ‘Gentle Reminder’ Message?	4 January 2018	None	['None']
snes-04591	Steph Curry was suspended from game 7 of the 2016 NBA Finals.	false	https://www.snopes.com/fact-check/steph-curry-suspended-nba-finals/	None	Sports	None	Dan Evon	None	Steph Curry Suspended from NBA Finals	17 June 2016	None	['Stephen_Curry_(basketball)']
snes-06318	Children’s TV host Barney the purple dinosaur was caught with cocaine hidden in his tail and cussed out a child.	false	https://www.snopes.com/fact-check/barney-unmasked/	None	Entertainment	None	David Mikkelson	None	Barney Rumors	2 March 2017	None	['None']
snes-00909	Did a Court Order Obama to Pay $400 Million in Restitution?	false	https://www.snopes.com/fact-check/obama-400-million-restitution/	None	Junk News	None	David Mikkelson	None	Did a Court Order Obama to Pay $400 Million in Restitution?	11 March 2018	None	['None']
snes-02964	A video shows Coretta Scott King thanking Jeff Sessions during her remarks at the dedication of the Rosa Parks Library.	mostly false	https://www.snopes.com/fact-check/coretta-scott-king-thanked-jeff-sessions/	None	Politics	None	Dan Evon	None	Did Coretta Scott King Thank Jeff Sessions in a Speech?	9 February 2017	None	['Jeff_Sessions']
snes-01537	Director Michael Moore was accused of sexual harassment by a 16-year-old film extra.	false	https://www.snopes.com/fact-check/was-michael-moore-accused-of-sexual-harassment/	None	Junk News	None	Arturo Garcia	None	Was Michael Moore Accused of Sexual Harassment?	23 October 2017	None	['Michael_Moore']
snes-00696	A photograph shows a remarkable sunset over Moscow.	false	https://www.snopes.com/fact-check/is-sunset-moscow-real/	None	Fauxtography	None	Dan Evon	None	Is This ‘Apocalyptic Sunset Over Moscow’ Real?	30 April 2018	None	['None']
snes-06246	The Statue of Liberty was erected as a tribute to the accomplishments of black soldiers in the Civil War, and a black woman served as the model for Lady Liberty.	false	https://www.snopes.com/fact-check/statue-of-liberty-origins/	None	History	None	Snopes Staff	None	Statue of Liberty Origins	14 February 2000	None	['Statue_of_Liberty', 'American_Civil_War']
snes-05110	A photograph shows Republican presidential candidate Ted Cruz hugging Fidel Castro.	false	https://www.snopes.com/fact-check/cruz-castro-fake-photo/	None	Fauxtography	None	Dan Evon	None	Photo Shows Ted Cruz With Fidel Castro?	7 March 2016	None	['Ted_Cruz', 'Republican_Party_(United_States)', 'Fidel_Castro']
snes-00354	In June 2017, President Donald Trump canceled federal protections for whales and sea turtles	mixture	https://www.snopes.com/fact-check/trump-whales-sea-turtles/	None	Politics	None	Dan MacGuill	None	Did President Trump Cancel Protections for Whales and Sea Turtles?	12 July 2018	None	['None']
snes-00327	A 17-year-old girl named Alyssa Carson is being trained by NASA to become an astronaut.	mixture	https://www.snopes.com/fact-check/17-year-old-astronaut-training/	None	Science	None	Arturo Garcia	None	Is NASA Training a 17-Year-Old Girl to Be an Astronaut?	17 July 2018	None	['None']
snes-02978	A new Arkansas law allows rapists to sue their victims to stop an abortion.	false	https://www.snopes.com/fact-check/new-arkansas-law-allows-rapists-sue-victims/	None	Politics	None	Bethania Palma	None	Does a New Arkansas Law Allow Rapists to Sue Their Victims?	7 February 2017	None	['Arkansas']
snes-03246	A photograph shows a young Carrie Fisher watching her mother Debbie Reynolds perform onstage.	true	https://www.snopes.com/fact-check/photograph-shows-young-carrie-fisher-watching-debbie-reynolds-on-stage/	None	Fauxtography	None	Dan Evon	None	Photograph Shows Young Carrie Fisher Watching Debbie Reynolds Perform	29 December 2016	None	['Carrie_Fisher', 'Debbie_Reynolds']
snes-03800	Scientists have officially declared the Great Barrier Reef to be dead.	false	https://www.snopes.com/fact-check/scientists-pronounce-great-barrier-reef-dead/	None	Science	None	Alex Kasprak	None	Scientists Pronounce Great Barrier Reef ‘Dead’	14 October 2016	None	['None']
snes-03711	Voters across Texas have witnessed their votes switch from "straight Republican" to Democrat on compromised voting machines.	mostly false	https://www.snopes.com/fact-check/texas-vote-switching/	None	Ballot Box	None	Kim LaCapria	None	Texas Vote Switching	25 October 2016	None	['Republican_Party_(United_States)', 'Democratic_Party_(United_States)', 'Texas']
snes-06136	The actress who portrayed Jill Masterson in the James Bond film Goldfinger died from asphyxiation after being covered with gold paint.	false	https://www.snopes.com/fact-check/false-goldfinger-death/	None	Entertainment	None	David Mikkelson	None	Did an Actress Die During the Filming of ‘Goldfinger’?	3 January 2000	None	['Bond_girl', 'James_Bond']
snes-04018	American legislator John Grumpart wants to ban Canadians from driving on U.S. roads.	false	https://www.snopes.com/fact-check/ban-canadians-usa-highways/	None	Junk News	None	Dan Evon	None	American Legislator Wants Canadians Banned from Driving in USA	16 September 2016	None	['United_States', 'Canada']
snes-03902	A video shows a woman stabbing her baby to death to gain revenge on her boyfriend.	false	https://www.snopes.com/fact-check/mom-stabs-baby-video/	None	Fauxtography	None	Dan Evon	None	Did a Woman Stab Her Baby to Get Revenge on Her Boyfriend?	28 October 2015	None	['None']
snes-03053	Dan Rather has come out of retirement as a newsman to "topple" the Trump administration?	mixture	https://www.snopes.com/fact-check/rather-ends-retirement-donald-trump/	None	Politics	None	Bethania Palma	None	Dan Rather Ends Retirement to ‘Topple’ Donald Trump?	27 January 2017	None	['None']
snes-06134	A U.N. small arms treaty signed by the U.S. provides a "legal way around the 2nd Amendment."	false	https://www.snopes.com/fact-check/un-arms-trade-treaty/	None	Guns	None	David Mikkelson	None	U.N. Arms Trade Treaty	23 May 2010	None	['United_States', 'United_Nations']
snes-02093	Photograph shows lava that came gushing out of geysers at Yellowstone National Park following a string of nearby earthquakes.	false	https://www.snopes.com/fact-check/yellowstone-lava-geyser/	None	Fauxtography	None	David Mikkelson	None	Yellowstone Lava Geyser	9 July 2017	None	['Yellowstone_National_Park']
snes-04059	The NFL fined players for violating league uniform rules by wearing 9/11 memorial cleats during football games played on 11 September 2016.	mixture	https://www.snopes.com/fact-check/nfl-fining-players-for-wearing-911-memorial-cleats/	None	Sports	None	Kim LaCapria	None	NFL Fining Players for Wearing 9/11 Memorial Cleats?	12 September 2016	None	['None']
snes-01993	A photograph shows a sign bearing an ominous threat from the group "Advancement of Islamic Agenda for America."	false	https://www.snopes.com/fact-check/islamic-agenda/	None	Fauxtography	None	David Mikkelson	None	‘Advancement of Islamic Agenda for America’ Sign	21 August 2014	None	['None']
snes-00962	Ruth Bader Ginsburg said that pedophilia was good for children.	false	https://www.snopes.com/fact-check/did-ruth-bader-ginsburg-say-that-pedophilia-was-good-for-children/	None	Questionable Quotes	None	Dan Evon	None	Did Ruth Bader Ginsburg Say that Pedophilia Was Good for Children?	26 February 2018	None	['None']
snes-04407	First Lady Michelle Obama has an unprecedented number of staffers working for her.	false	https://www.snopes.com/fact-check/staff-injection/	None	Politicians	None	David Mikkelson	None	First Lady Michelle Obama Requires More Than Twenty Attendants	16 August 2009	None	['None']
snes-05588	Vice President Joe Biden once said that "the Germans" bombed Pearl Harbor.	false	https://www.snopes.com/fact-check/joe-biden-germany-pearl-harbor/	None	Politics	None	Dan Evon	None	Did Joe Biden Misremember Who Attacked Pearl Harbor?	5 August 2015	None	['Joe_Biden', 'Germany']
snes-06435	A Star Wars trading card was altered to depict the droid C-3P0 with an oversized penis.	legend	https://www.snopes.com/fact-check/c3p0-trading-card/	None	Entertainment	None	David Mikkelson	None	Risqué ‘Star Wars’ C-3P0 Trading Card	16 August 2007	None	['None']
snes-02202	Rand Paul tweeted that the Second Amendment wasn't designed to protect our right to shoot deer, but the government when it becomes tyrannical.	mixture	https://www.snopes.com/fact-check/rand-paul-tweet-second-amendment-purpose-shoot-tyrannical-government/	None	Politics	None	Dan Evon	None	Rand Paul Tweeted That Purpose of Second Amendment Is to Shoot at Tyrannical Government?	15 June 2017	None	['None']
snes-04321	The Rolling Stones recorded a jingle for Rice Krispies in 1964.	true	https://www.snopes.com/fact-check/the-rolling-stones-rice-krispies-jingle/	None	Uncategorized	None	Brooke Binkowski	None	The Rolling Stones’ Rice Krispies Jingle	3 August 2016	None	['The_Rolling_Stones', 'Rice_Krispies']
snes-03268	A headstone marking the burial site of a 4-year-old boy was removed because its shape violated cemetery rules.	true	https://www.snopes.com/fact-check/little-boys-headstone-removed-single-complaint/	None	Viral Phenomena	None	Bethania Palma	None	Little Boy’s Headstone Removed Because of Single Complaint	26 December 2016	None	['None']
snes-04302	The Cicret bracelet and app can project your smartphone onto your arm.	mixture	https://www.snopes.com/fact-check/do-you-want-to-know-a-cicret/	None	Fauxtography	None	Kim LaCapria	None	Cicret Bracelet	13 January 2015	None	['None']
snes-04791	Feminine hygiene products are subject to sales tax in most states.	true	https://www.snopes.com/fact-check/tampon-tax/	None	Politics	None	Kim LaCapria	None	Tampon Tax	9 May 2016	None	['None']
snes-05672	A 600-pound Australian woman gave birth to a 40-pound baby.	false	https://www.snopes.com/fact-check/baby-boom-6/	None	Junk News	None	Kim LaCapria	None	Did a 600 Pound Woman Give Birth to a 40 Pound Baby?	15 January 2015	None	['Australia']
snes-02806	Was Megyn Kelly Fired From NBC?	false	https://www.snopes.com/fact-check/was-megyn-kelly-fired-from-nbc/	None	Uncategorized	None	Bethania Palma	None	Was Megyn Kelly Fired from NBC?	9 March 2017	None	['None']
snes-02989	An image macro accurately compares the remarks of President Trump and former President Obama at National Prayer Breakfasts.	mixture	https://www.snopes.com/fact-check/national-prayer-breakfast-obama-trump/	None	Politicians	None	Dan Evon	None	National Prayer Breakfast Remarks: President Trump vs. President Obama	6 February 2017	None	['Barack_Obama']
snes-06243	A 1991 literary client list promotional booklet identified Barack Obama as having been born in Kenya.	true	https://www.snopes.com/fact-check/promotional-booklet/	None	Politicians	None	David Mikkelson	None	Obama’s Literary Agent Said He Was Born in Kenya?	18 May 2012	None	['Kenya', 'Barack_Obama']
snes-02131	Social Deviants	false	https://www.snopes.com/fact-check/social-media-hacker-warning/	None	Computers	None	David Mikkelson	None	Social Media Hacker Warning	17 March 2009	None	['None']
snes-06128	The Talking Angela app unsafely prompts children to provide personal information about themselves.	false	https://www.snopes.com/fact-check/false-talking-angela-warning/	None	Computers	None	David Mikkelson	None	Is the ‘Talking Angela’ App Unsafe?	3 September 2013	None	['None']
snes-01000	President Eisenhower rejected the idea of military parades, saying they "would make us look weak."	mixture	https://www.snopes.com/fact-check/eisenhower-military-parades/	None	Politics	None	Dan MacGuill	None	Did Dwight Eisenhower Reject the Idea of ‘Soviet-Style’ Military Parades?	15 February 2018	None	['Dwight_D._Eisenhower']
snes-00862	In February and March 2018, hundreds of Canadian doctors signed a petition asking for the cancellation of pay deals from which they would personally benefit.	true	https://www.snopes.com/fact-check/canada-doctors-pay-rise/	None	Medical	None	Dan MacGuill	None	Did Hundreds of Doctors in Canada Protest Against Their Own Pay Raise?	21 March 2018	None	['Canada']
snes-02218	Joe the Plumber was killed in an accident after announcing he was seeking a seat in the U.S. Senate.	false	https://www.snopes.com/fact-check/joe-plumber-dies/	None	Junk News	None	David Mikkelson	None	‘Joe the Plumber’ Dies in Freak Accident After Announcing Bid for Congress?	12 June 2017	None	['United_States', 'Joe_the_Plumber']
snes-00905	In February 2018, the owners of a café in Oakland, California said they would not be serving police officers and would be asking them to leave.	true	https://www.snopes.com/fact-check/oakland-coffee-police-officers/	None	Viral Phenomena	None	Dan MacGuill	None	Did an Oakland Café Refuse to Serve Police Officers?	12 March 2018	None	['California', 'Oakland,_California']
snes-01386	A time-traveler using a hula hoop appears in the background of a 1939 photograph.	false	https://www.snopes.com/fact-check/time-traveling-hula-hooper-photograph/	None	Fauxtography	None	Dan Evon	None	Is this a Time-Traveling Hula Hooper?	30 November 2017	None	['None']
snes-04584	A video shows two Muslim men threatening people with a stun gun after seeing bikini-clad women.	unproven	https://www.snopes.com/fact-check/muslim-stun-gun-bikini-pool/	None	Fauxtography	None	Dan Evon	None	Muslims Threaten Bikini-Clad Women with Stun Gun	20 June 2016	None	['None']
snes-01563	A competitor one-ups a company proud of their new ultra-thin wire by drilling a hole through it.	legend	https://www.snopes.com/fact-check/drilled-wire/	None	Business	None	Snopes Staff	None	Urban Legend: Drilled Wire	15 July 2000	None	['None']
snes-01636	Are 871 Convicted Felons Currently Playing for the NFL?	false	https://www.snopes.com/fact-check/are-there-871-convicted-felons-currently-playing-for-the-nfl/	None	Politics	None	Bethania Palma	None	Are 871 Convicted Felons Currently Playing for the NFL?	2 October 2017	None	['None']
snes-05112	An image shows a real ad from The Brady Campaign urging citizens not to fight back against home intruders.	false	https://www.snopes.com/fact-check/brady-campaign-fake-ad/	None	Uncategorized	None	Dan Evon	None	Fake Brady Campaign Ad Goes Viral on Facebook	5 March 2016	None	['None']
snes-03754	Outgoing President George H.W. Bush left a note welcoming incoming President Bill Clinton to the White House in 1993.	true	https://www.snopes.com/fact-check/bush-clinton-note/	None	Politicians	None	Dan Evon	None	George H.W. Bush Note to Bill Clinton	20 October 2016	None	['Bill_Clinton', 'White_House', 'George_W._Bush']
snes-02142	A 21-foot saltwater crocodile was captured in Connecticut after killing two people.	false	https://www.snopes.com/fact-check/saltwater-crocodile-captured-in-long-island-sound-near-bridgeport/	None	Junk News	None	Dan Evon	None	Saltwater Crocodile Captured in Long Island Sound Near Bridgeport?	26 June 2017	None	['Connecticut']
snes-03919	A man saw dead people and talked to God after he was deprived of his senses during a government experiment.	false	https://www.snopes.com/fact-check/man-deprived-of-senses/	None	Fauxtography	None	Dan Evon	None	Man Sees Dead People, Speaks to God After Being Deprived of His Senses	29 September 2016	None	['God']
snes-02854	There is a demonstrable link between marijuana legalization and an increase in violent crime.	false	https://www.snopes.com/fact-check/marijuana-legalization-violent-crime/	None	Politics	None	Alex Kasprak	None	Is Marijuana Legalization Linked to Increased Violent Crime?	1 March 2017	None	['None']
snes-02747	Statute of Modifications	false	https://www.snopes.com/fact-check/obama-white-house-statue/	None	Junk News	None	Dan Evon	None	Obama Orders Life-Sized Bronze Statue of Himself to Be Permanently Installed in White House?	18 January 2017	None	['None']
snes-04615	British waterpark Waterworld has demanded parkgoers dress in an "Islamically appropriate" fashion because Muslim visitors were offended by bikinis.	mostly false	https://www.snopes.com/fact-check/waterworld-waterpark-bans-bikinis-because-muslims-are-offended/	None	Politics	None	Kim LaCapria	None	Waterworld Waterpark Bans Bikinis Because Muslims are Offended?	14 June 2016	None	['United_Kingdom', 'Islam']
snes-03360	Police sketches of Madeleine McCann's alleged kidnappers are a perfect match for Tony and John Podesta.	mostly false	https://www.snopes.com/fact-check/tony-and-john-podesta-match-madeleine-mccann-police-sketches/	None	Fauxtography	None	Kim LaCapria	None	Tony and John Podesta Match Madeleine McCann Police Sketches?	12 December 2016	None	['None']
snes-02839	A photograph shows a baseball stadium repurposed as a residential neighborhood.	miscaptioned	https://www.snopes.com/fact-check/osaka-baseball-stadium-neighborhood/	None	Fauxtography	None	Dan Evon	None	Was a Japanese Baseball Stadium Repurposed as a Residential Neighborhood?	5 January 2016	None	['None']
snes-02247	A woman narrowly escaped an abduction attempt at the Coon Rapids Walmart in Minnesota.	unproven	https://www.snopes.com/fact-check/coon-rapids-walmart-trafficking-warning/	None	Inboxer Rebellion	None	Kim LaCapria	None	Coon Rapids Walmart Trafficking Warning	7 June 2017	None	['Minnesota']
snes-02555	The April 2005 issue of Parents magazine displayed unfortunate cover placement.	false	https://www.snopes.com/fact-check/parents-nightmare/	None	Risqué Business	None	David Mikkelson	None	Parents’ Nightmare	13 June 2005	None	['None']
snes-04806	Caitlyn Jenner will pose nude on the cover of 'Sports Illustrated.'	unproven	https://www.snopes.com/fact-check/caitlyn-jenner-sports-illustrated/	None	Entertainment	None	Kim LaCapria	None	Caitlyn Jenner to Do Nude ‘Sports Illustrated’ Cover	5 May 2016	None	['None']
snes-03637	Hillary Clinton accidentally paid ISIS $400 million.	false	https://www.snopes.com/fact-check/hillary-clinton-accidentally-gave-isis-400-million/	None	Junk News	None	Bethania Palma	None	Hillary Clinton ‘Accidentally’ Gave ISIS $400 Million	3 November 2016	None	['None']
snes-00272	A photograph shows Cuban revolutionary Che Guevara executing two women.	unproven	https://www.snopes.com/fact-check/che-guevara-executing-women/	None	Fauxtography	None	Dan Evon	None	Does This Photograph Show Che Guevara Executing Two Women?	1 August 2018	None	['Cuba', 'Che_Guevara']
snes-03150	Ratings Trump	mostly false	https://www.snopes.com/fact-check/change-channel-on-inauguration/	None	Entertainment	None	Dan Evon	None	Can TV Viewers Protest Donald Trump’s Inauguration by Changing the Channel?	10 January 2017	None	['None']
snes-04033	Hillary Clinton was responsible for the siege on the Branch Davidian compound in Waco, Texas, that ended with 76 civilian deaths.	false	https://www.snopes.com/fact-check/hillary-clinton-was-responsible-for-the-waco-massacre/	None	Conspiracy Theories	None	Bethania Palma	None	Hillary Clinton Was Responsible for the Waco Massacre?	14 September 2016	None	['Texas', 'Waco,_Texas', 'Waco_siege']
snes-01660	DIRECTV is offering refunds to NFL package subscribers to express dissatisfaction over national anthem protests	unproven	https://www.snopes.com/fact-check/directv-nfl-refunds/	None	Politics	None	Kim LaCapria	None	Is DIRECTV Offering NFL Subscription Refunds Over Anthem Protests?	27 September 2017	None	['None']
snes-03217	Presidential daughter Malia Obama was named the highest-paid heir in 2017.	false	https://www.snopes.com/fact-check/malia-obama-highest-paid-heir-in-the-world/	None	Junk News	None	Dan Evon	None	Malia Obama Highest-Paid Heir in the World?	3 January 2017	None	['None']
snes-05074	Nancy Reagan once said "It is appalling to see parades in San Francisco and elsewhere proclaiming 'gay pride' and all that."	unproven	https://www.snopes.com/fact-check/nancy-reagan-on-gay-pride/	None	Uncategorized	None	David Mikkelson	None	Nancy Reagan on Gay Pride	13 March 2016	None	['San_Francisco', 'Nancy_Reagan']
snes-03359	Congressional Democrats attempted to implement Sharia law by enacting House Resolution 569, a condemnation of violence and bigotry against Muslims.	false	https://www.snopes.com/fact-check/democrats-sharia-law/	None	Politics	None	David Emery	None	House Democrats Strike to Implement Sharia Law	12 December 2016	None	['Democratic_Party_(United_States)', 'Sharia']
snes-00138	Former San Francisco 49ers quarterback Colin Kaepernick lost an endorsement deal with sports apparel manufacturer Nike for going on "an anti-white rant."	false	https://www.snopes.com/fact-check/kaepernick-nike-endorsement/	None	Junk News	None	David Emery	None	Did Colin Kaepernick Immediately Lose a Nike Endorsement After an Anti-White Rant?	4 September 2018	None	['Nike,_Inc.', 'San_Francisco']
snes-02583	A South African woman gave birth to puppies after having sex with the family dog.	false	https://www.snopes.com/fact-check/woman-gives-birth-to-puppies/	None	Junk News	None	David Emery	None	Woman Gives Birth to Puppies After Having Sex with Family Dog?	18 April 2017	None	['South_Africa']
snes-03539	A photograph shows former president Bill Clinton sitting naked on a hotel bed.	false	https://www.snopes.com/fact-check/bill-clinton-in-the-nude/	None	Uncategorized	None	Dan Evon	None	Bill Clinton in the Nude	15 November 2016	None	['Bill_Clinton']
snes-04827	President Obama ordered the removal of an American flag at a Pearl Harbor memorial.	false	https://www.snopes.com/fact-check/obama-flag-pearl-harbor/	None	Politicians	None	Dan Evon	None	Marine Corps’ Pearl Harbor Memorial Flags Removed at President Obama’s Request	2 May 2016	None	['United_States', 'Barack_Obama']
snes-00083	Chelsea Clinton said it would be "un-Christian" to protect babies from abortion.	mixture	https://www.snopes.com/fact-check/chelsea-clinton-un-christian-to-protect-babies/	None	Politics	None	David Emery	None	Did Chelsea Clinton Say It Would Be ‘Un-Christian’ to Protect Babies from Abortion?	14 September 2018	None	['Chelsea_Clinton']
snes-02134	Kellyanne Conway said she would 'make sure' that the Golden State Warriors were required to visit the White House after winning the NBA title.	false	https://www.snopes.com/fact-check/kellyanne-conway-nba-champions/	None	Sports	None	Arturo Garcia	None	Did Kellyanne Conway Try to Require NBA Champions to Visit the White House?	27 June 2017	None	['White_House', 'National_Basketball_Association', 'Golden_State_Warriors']
snes-04783	Kellogg's is adding traces of peanut flour to its products.	mixture	https://www.snopes.com/fact-check/kelloggs-peanut-flour-allergies/	None	Food	None	Dan Evon	None	Kellogg’s to Add Peanut Flour to Products	10 May 2016	None	['None']
snes-00715	President Donald Trump was using an anti-Semitic slur when he called NBC host Chuck Todd "sleepy eyes."	mixture	https://www.snopes.com/fact-check/sleepy-eyes-anti-semitic-slur/	None	Politics	None	Arturo Garcia	None	Is ‘Sleepy Eyes’ an Anti-Semitic Slur?	23 April 2018	None	['NBC', 'Donald_Trump']
snes-05809	A list of ten steps on how to be a good wife comes from a 1950s U.S. home economics textbook.	unproven	https://www.snopes.com/fact-check/how-to-be-a-good-wife/	None	History	None	David Mikkelson	None	How to Be a Good Wife	18 March 2001	None	['United_States']
snes-05228	Two Maryland sheriff's deputies were shot and killed at a restaurant by a vagrant.	true	https://www.snopes.com/fact-check/blue-lives-matter-facebook/	None	Crime	None	Dan Evon	None	Two Officers Shot and Killed by Vagrant at Maryland Restaurant	11 February 2016	None	['None']
snes-02012	A Muslim federal judge has implemented "two items" of sharia law in the United States.	false	https://www.snopes.com/fact-check/muslim-federal-judge-sharia/	None	Uncategorized	None	Bethania Palma	None	Did Muslim Federal Judge ‘Mahal al Alallaha-Smith’ Rule that Two Items of Sharia Law Are Now Legal?	25 July 2017	None	['United_States']
snes-00441	An audio clip captured distressed immigrant children crying for their parents in a detention facility.	correct attribution	https://www.snopes.com/fact-check/audio-detained-children-crying-parents/	None	Politics	None	Kim LaCapria	None	Is This Audio of Detained Children Crying for Their Parents?	19 June 2018	None	['None']
snes-03817	The G.W. Bush administration "lost" 22 million official e-mails sent and received via private servers between the years 2003 and 2005.	mixture	https://www.snopes.com/fact-check/g-w-bush-lost-22-million-e-mails/	None	Politics	None	David Emery	None	George W. Bush White House ‘Lost’ 22 Million E-mails?	11 October 2016	None	['George_W._Bush']
snes-05797	Monica Lewinsky proclaimed she would be voting Republican because 'the Democrats left a bad taste in my mouth.'	false	https://www.snopes.com/fact-check/bad-taste/	None	Quotes	None	David Mikkelson	None	Bad Taste	7 June 2003	None	['Monica_Lewinsky', 'Democratic_Party_(United_States)', 'Republican_Party_(United_States)']
snes-04392	A Facebook page is giving away luxury RV's to users who like and share their page.	scam	https://www.snopes.com/fact-check/luxury-rv-giveaway-scam/	None	Inboxer Rebellion	None	Dan Evon	None	SCAM: Luxury RV Giveaway	22 July 2016	None	['None']
snes-03634	Hillary Clinton aide Huma Abedin has ties to Muslim terrorists and Saudi funders of the 9/11 attacks through her family's business	unproven	https://www.snopes.com/fact-check/huma-abedin-ties-to-terrorists/	None	Conspiracy Theories	None	David Emery	None	Top Clinton Aide Huma Abedin Has Ties to Terrorists?	2 November 2016	None	['Saudi_Arabia', 'Islam']
snes-05059	Bernie Sanders plans on banning trucks in the United States.	mixture	https://www.snopes.com/fact-check/bernie-sanders-truck-ban/	None	Uncategorized	None	Dan Evon	None	Bernie Sanders Isn’t Planning to Ban Trucks in the United States	15 March 2016	None	['United_States', 'Bernie_Sanders']
snes-03026	Facebook pop-up windows are warning that the Department of Homeland Security (acting under a bill known as CISPA) is forwarding entire Facebook histories of Standing Rock protesters to the Federal Bureau of Investigation.	false	https://www.snopes.com/fact-check/facebook-standing-rock-dhs-fbi/	None	Fauxtography	None	Kim LaCapria	None	Is Facebook Forwarding Standing Rock Protester Profiles to DHS, FBI?	1 February 2017	None	['Federal_Bureau_of_Investigation', 'Facebook']
snes-03977	President Obama appointed Fatima Noor as the head of U.S. Citizenship and Immigration Services in the Department of Homeland Security.	mixture	https://www.snopes.com/fact-check/fatima-noor/	None	Politicians	None	David Mikkelson	None	Fatima Noor Appointed to Homeland Security	11 December 2014	None	['United_States', 'Barack_Obama']
snes-02029	Actress Miranda Cosgrove was arrested for prostitution in July 2017.	false	https://www.snopes.com/fact-check/miranda-cosgrove-arrested-prostitution/	None	Junk News	None	Dan Evon	None	Miranda Cosgrove Arrested for Prostitution?	21 July 2017	None	['None']
